i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
99,2133000000,3199000000,up,580630470125421,8646.75,12734.14,0
100,3199000000,2133000000,down,580630733439941,8636.31,13251.98,0
101,2133000000,3199000000,up,580630997230057,9008.26,13236.14,0
102,3199000000,2133000000,down,580631261008813,9479.09,13706.04,0
103,2133000000,3199000000,up,580631525255420,8725.85,12772.7,0
104,3199000000,2133000000,down,580631788565396,8492.15,12856.32,0
105,2133000000,3199000000,up,580632052125298,8912.96,13610.9,0
106,3199000000,2133000000,down,580632316323425,8531.48,12715.74,0
107,2133000000,3199000000,up,580632579607576,8850.27,12993.96,0
108,3199000000,2133000000,down,580632843148054,8896.74,13722.3,0
109,2133000000,3199000000,up,580633107501801,9884.5,14222.12,0
110,3199000000,2133000000,down,580633372291302,8560.66,12753.67,0
111,2133000000,3199000000,up,580633635625343,8796.06,12932.04,0
112,3199000000,2133000000,down,580633899102556,8868.19,13256.33,0
113,2133000000,3199000000,up,580634162882848,9652.69,14002.37,0
114,3199000000,2133000000,down,580634427439512,9114.6,13423.44,0
115,2133000000,3199000000,up,580634691345408,8750.75,12820.03,0
116,3199000000,2133000000,down,580634954672985,8649.88,12969.09,0
117,2133000000,3199000000,up,580635218132598,8587.51,12572.19,0
118,3199000000,2133000000,down,580635481212265,8393.88,12570.3,0
119,2133000000,3199000000,up,580635744322493,8627.8,12625.57,0
120,3199000000,2133000000,down,580636007408049,8242.09,12182.48,0
121,2133000000,3199000000,up,580636270137051,8812.41,12937.13,0
122,3199000000,2133000000,down,580636533627961,8524.5,12656.32,0
123,2133000000,3199000000,up,580636796840624,8777.21,13034.54,0
124,3199000000,2133000000,down,580637060420528,9405.1,13647.74,0
125,2133000000,3199000000,up,580637324644929,8884.29,13061.61,0
126,3199000000,2133000000,down,580637588251330,8327.95,12584.38,0
127,2133000000,3199000000,up,580637851384119,9950.97,14344.33,0
128,3199000000,2133000000,down,580638116277977,8483.16,12713.5,0
129,2133000000,3199000000,up,580638379479824,8744.67,12846.24,0
130,3199000000,2133000000,down,580638642781481,8270.8,12264.95,0
131,2133000000,3199000000,up,580638905559606,9254.95,13387.09,0
132,3199000000,2133000000,down,580639169457471,8550.71,12681.85,0
133,2133000000,3199000000,up,580639432642390,8552.02,12639.29,0
134,3199000000,2133000000,down,580639695737034,8252.37,12237.04,0
135,2133000000,3199000000,up,580639958613562,10021.24,14596.24,0
136,3199000000,2133000000,down,580640223796995,8483.99,13005.64,0
137,2133000000,3199000000,up,580640487279714,8699.8,12843.94,0
