i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
109,729600,1728000,up,580242808712712,955.93,1255.3,0
110,1728000,729600,down,580243060376350,802.07,1195.87,0
111,729600,1728000,up,580243312128310,1830.41,3103.79,0
112,1728000,729600,down,580243565921568,1698.57,2794.4,0
113,729600,1728000,up,580243819264222,1514.15,2486.05,0
114,1728000,729600,down,580244072318487,1365.63,2298.04,0
115,729600,1728000,up,580244325088744,1056.7,1890.8,0
116,1728000,729600,down,580244577478480,1276.38,2203.96,0
117,729600,1728000,up,580244830214849,1465.16,2657.34,0
118,1728000,729600,down,580245083383260,1317.28,2205.85,0
119,729600,1728000,up,580245336091405,1067.58,1930.1,0
120,1728000,729600,down,580245588532023,1725.16,2678.66,0
121,729600,1728000,up,580245841739315,1741.29,2827.21,0
122,1728000,729600,down,580246095109652,1105.02,1950.06,0
123,729600,1728000,up,580246347514046,1557.54,2401.05,0
124,1728000,729600,down,580246600393587,1336.48,2215.77,0
125,729600,1728000,up,580246853136421,1408.87,2350.62,0
126,1728000,729600,down,580247105956185,1067.9,1901.87,0
127,729600,1728000,up,580247358307490,1051.9,2015.06,0
128,1728000,729600,down,580247610832016,1383.91,2311.61,0
129,729600,1728000,up,580247863660356,1387.78,2299.96,0
130,1728000,729600,down,580248116504314,1229.5,2080.05,0
131,729600,1728000,up,580248369127562,1657.55,2501.18,0
132,1728000,729600,down,580248622148228,1341.86,2404.16,0
133,729600,1728000,up,580248875073883,1538.98,2466.56,0
134,1728000,729600,down,580249128091861,1152.73,1975.76,0
135,729600,1728000,up,580249380666341,1230.49,2091.32,0
136,1728000,729600,down,580249633282357,1316.26,2199.86,0
137,729600,1728000,up,580249885983688,1762.67,2835.43,0
138,1728000,729600,down,580250139289802,1104.32,1918.06,0
139,729600,1728000,up,580250391704854,1368.03,2219.03,0
140,1728000,729600,down,580250644456395,1889.26,2940.39,0
141,729600,1728000,up,580250898295194,1511.81,2858.28,0
142,1728000,729600,down,580251151709759,1513.29,2536.73,0
143,729600,1728000,up,580251404866782,1602.6,2719.33,0
144,1728000,729600,down,580251658183873,1458.31,2722.98,0
145,729600,1728000,up,580251911398625,762.8,1069.59,0
146,1728000,729600,down,580252162871191,1194.37,1614.95,0
147,729600,1728000,up,580252415058239,1571.3,2649.06,0
148,1728000,729600,down,580252668359010,1426.47,2432.32,0
149,729600,1728000,up,580252921327965,1338.5,2327.77,0
150,1728000,729600,down,580253174145077,1420.61,2417.82,0
151,729600,1728000,up,580253427053839,1439.3,2471.9,0
152,1728000,729600,down,580253680147245,1344.55,2288.09,0
153,729600,1728000,up,580253932992774,1327.42,2253.66,0
154,1728000,729600,down,580254185764573,1250.08,2147.54,0
155,729600,1728000,up,580254438599030,1235.65,2276.92,0
156,1728000,729600,down,580254691414318,1367.23,2297.66,0
157,729600,1728000,up,580254944204614,1358.08,2316.79,0
158,1728000,729600,down,580255197036255,1374.27,2338.49,0
159,729600,1728000,up,580255449894073,1347.42,2544.35,0
160,1728000,729600,down,580255703009145,1712.14,2774.24,0
161,729600,1728000,up,580255956161146,1362.43,2566.91,0
162,1728000,729600,down,580256209364925,1440.61,2438.43,0
163,729600,1728000,up,580256462358875,1249.09,2349.4,0
164,1728000,729600,down,580256715266551,1480.64,2448.12,0
165,729600,1728000,up,580256968184627,1384.0,2334.23,0
166,1728000,729600,down,580257220976396,1404.77,2251.03,0
167,729600,1728000,up,580257473754885,1660.84,2753.92,0
168,1728000,729600,down,580257727035819,1563.72,2570.85,0
169,729600,1728000,up,580257980192205,1708.91,2656.51,0
170,1728000,729600,down,580258233366609,1315.68,2328.95,0
171,729600,1728000,up,580258486205580,1327.27,2467.2,0
172,1728000,729600,down,580258739212491,1412.29,2337.69,0
173,729600,1728000,up,580258992174921,2812.13,3772.7,0
