token,dur_ns
0,27846235
1,27821531
2,27853019
3,27882781
4,27854107
5,27928190
6,27938270
7,27929790
8,27844923
9,27840155
10,27853788
11,27882012
12,27886525
13,27846043
14,27836507
15,27826906
16,27839771
17,27827899
18,27840827
19,27859804
20,27860667
21,27893213
22,27844731
23,27837691
24,27823451
25,27871644
26,27851867
27,27821818
28,27908061
29,27857244
30,27905309
31,27867804
32,27842395
33,27866076
34,27840443
35,27845211
36,27826074
37,27827995
38,27837851
39,27899261
40,27865147
41,28073218
42,28053762
43,27944926
44,27867452
45,27863419
46,27861532
47,27922717
48,27898013
49,27884029
50,27926045
51,28015712
52,27845659
53,27919742
54,27864987
55,27827803
56,27866395
57,27797722
58,27777241
59,27769593
60,27794553
61,27778329
62,27820795
63,27772857
64,27788185
65,27789273
66,27798586
67,27764825
68,27768121
69,27775833
70,27794905
71,27783161
72,27759385
73,27818906
74,27772409
75,27820282
76,27769305
77,27931326
78,27897436
79,27777337
80,27785754
81,27778105
82,27786521
83,27864572
84,27757432
85,27783065
86,27773369
87,27764249
88,27801689
89,27781945
90,27784730
91,27782873
92,27808506
93,27816026
94,27784217
95,27770008
96,27785786
97,27775128
98,27774265
99,27765753
100,27786105
101,27799514
102,27830586
103,27774073
104,27811322
105,27758552
106,27780345
107,27765881
108,27771577
109,27776793
110,27767320
111,27845851
112,27791322
113,27911228
114,27933406
115,27865116
116,27796729
117,27770489
118,27788057
119,27851131
120,27845371
121,27789241
122,27779961
123,27788858
124,27767160
125,27796857
126,27772377
127,27888252
128,27836763
129,27831354
130,27830939
131,27826106
132,27822362
133,27819610
134,27816250
135,27856219
136,27893757
137,27828538
138,27860507
139,27844795
140,27808474
141,27819546
142,32064120
143,29571630
144,28013792
145,27955582
146,27945022
147,28003647
148,27940798
149,28027392
150,28031265
151,27997983
152,27912061
153,27911485
154,27925021
155,28011168
156,27928957
157,27908381
158,27926141
159,27964286
160,27928061
161,27940958
162,27966366
163,27986271
164,27965118
165,27940382
166,27928061
167,27937757
168,27924382
169,27928573
170,27932957
171,27984479
172,27945886
173,27939933
174,28014944
175,27941950
176,27961022
177,27946557
178,27931230
179,27960638
180,27943358
181,27906940
182,27966750
183,27929534
184,27940637
185,28052609
186,28050337
187,27943518
188,27949149
189,27910909
190,27939230
191,28048000
192,27937566
193,27947070
194,27920508
195,27921021
196,27928957
197,27928445
198,27923613
199,27906653
