image,filt,final,pre,inf,decode,filter,nms,post,e2e
000000000139.jpg,120,17,0.7622939883731306,6.432472000597045,0.1854774891398847,0.46516547445207834,1.0883670183829963,1.7390414723195136,8.935200021369383
000000000632.jpg,55,6,0.7535094919148833,6.435527990106493,0.18568499945104122,0.46476497664116323,1.0609104938339442,1.7134410154540092,8.896654529962689
000000000724.jpg,23,3,0.7485649839509279,6.436872004996985,0.18843699945136905,0.4641090054064989,1.0520619980525225,1.7048969748429954,8.893871039617807
000000000785.jpg,18,2,0.7553815084975213,6.431048008380458,0.18690200522542,0.46388551709242165,1.0449260007590055,1.6963045054581016,8.884494483936578
000000001000.jpg,135,15,0.7477810431737453,6.436808471335098,0.18738151993602514,0.46486099017784,1.089792000129819,1.745521993143484,8.929503994295374
000000001268.jpg,83,9,0.747685000533238,6.434536015149206,0.18693297170102596,0.4619650135282427,1.0654704819899052,1.7159535200335085,8.900190005078912
000000001296.jpg,39,6,0.7482455112040043,6.43767201108858,0.18691751756705344,0.466428988147527,1.0559340007603168,1.7103049904108047,8.899694948922843
000000001503.jpg,51,6,0.7491094875149429,6.4341679972130805,0.18686946714296937,0.463292992208153,1.0506699909456074,1.69982502120547,8.883214992238209
000000002006.jpg,39,4,0.7471254793927073,6.439256016165018,0.18742898828350008,0.4628620226867497,1.0585104755591601,1.7147370090242475,8.900574524886906
000000002157.jpg,126,15,0.7473180303350091,6.431832007365301,0.1866930106189102,0.4622369888238609,1.0845590149983764,1.7395855102222413,8.91870295163244
000000002261.jpg,14,2,0.7484539819415659,6.436840019887313,0.18795751384459436,0.46473348629660904,1.056238019373268,1.7118410032708198,8.898094994947314
000000003255.jpg,32,4,0.7522455125581473,6.43829649197869,0.1860539778135717,0.46129399561323225,1.05172602343373,1.7004480178002268,8.89211002504453
000000004495.jpg,30,3,0.7570780289825052,6.443911988753825,0.1873500004876405,0.46276600915007293,1.0538699862081558,1.7051525064744055,8.910094969905913
000000005193.jpg,92,10,0.7546775159426033,6.441576522774994,0.18650101264938712,0.4629570175893605,1.0760790028143674,1.7279050080105662,8.928559022024274
000000037777.jpg,72,12,0.7561655074823648,6.443144520744681,0.1874455192591995,0.46470100642181933,1.0751189838629216,1.7278734885621816,8.925358502892777
