i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1728000,729600,down,492670282180033,755.22,975.23,0
1,729600,1728000,up,492670533608983,442.31,694.51,0
2,1728000,729600,down,492670784734500,1325.67,1808.72,0
3,729600,1728000,up,492671037055378,891.8,1494.41,0
4,1728000,729600,down,492671288999861,1257.51,2164.12,0
5,729600,1728000,up,492671541705581,1105.4,1959.73,0
6,1728000,729600,down,492671794219519,1564.39,2656.71,0
7,729600,1728000,up,492672047416132,1408.68,2377.6,0
8,1728000,729600,down,492672300188317,1319.49,2289.37,0
9,729600,1728000,up,492672553008856,1296.9,2240.67,0
10,1728000,729600,down,492672805787890,1383.14,2528.64,0
11,729600,1728000,up,492673058852371,1377.96,2341.47,0
12,1728000,729600,down,492673311737679,1419.85,2379.65,0
13,729600,1728000,up,492673564638892,1631.21,2616.87,0
14,1728000,729600,down,492673817803728,1440.01,2602.34,0
15,729600,1728000,up,492674070957299,1398.88,2394.05,0
16,1728000,729600,down,492674323975475,1325.35,2443.68,0
17,729600,1728000,up,492674576948338,1248.96,2184.99,0
18,1728000,729600,down,492674829677322,1473.99,2615.78,0
19,729600,1728000,up,492675082837614,1400.58,2392.54,0
20,1728000,729600,down,492675335744875,1497.06,2455.71,0
21,729600,1728000,up,492675588670249,1020.57,1874.13,0
22,1728000,729600,down,492675841068664,1362.02,2340.16,0
23,729600,1728000,up,492676093973589,1386.88,2514.31,0
24,1728000,729600,down,492676347033142,1569.16,2533.32,0
25,729600,1728000,up,492676600124568,1239.71,2161.24,0
26,1728000,729600,down,492676852805391,1336.55,2286.56,0
27,729600,1728000,up,492677105626186,1334.72,2288.09,0
28,1728000,729600,down,492677358447525,511.95,609.65,0
29,729600,1728000,up,492677609450160,1015.8,1852.5,0
30,1728000,729600,down,492677861815711,1344.32,2290.91,0
31,729600,1728000,up,492678114598328,1685.84,2637.54,0
32,1728000,729600,down,492678367758780,1416.23,2448.48,0
33,729600,1728000,up,492678620683514,1034.91,1877.23,0
34,1728000,729600,down,492678873093770,1433.48,2436.42,0
35,729600,1728000,up,492679126079049,1642.67,2783.72,0
36,1728000,729600,down,492679379396817,1489.29,2450.4,0
37,729600,1728000,up,492679632380112,1229.18,2135.03,0
38,1728000,729600,down,492679885054087,1399.27,2396.45,0
39,729600,1728000,up,492680138012518,1434.47,2596.07,0
