i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1020000000,612000000,down,492706260285612,5586.45,7241.12,0
1,612000000,1020000000,up,492706518082315,4861.47,6526.92,0
2,1020000000,612000000,down,492706775145846,4804.96,6270.44,0
3,612000000,1020000000,up,492707031939131,4575.16,6116.83,0
4,1020000000,612000000,down,492707288576540,4855.46,6351.75,0
5,612000000,1020000000,up,492707545457475,4844.86,6235.94,0
6,1020000000,612000000,down,492707802215846,4711.93,6227.85,0
7,612000000,1020000000,up,492708058989610,4816.06,6223.33,0
8,1020000000,612000000,down,492708315718381,4622.81,6184.48,0
9,612000000,1020000000,up,492708572424720,4639.07,6050.37,0
10,1020000000,612000000,down,492708828979534,4726.14,6102.94,0
11,612000000,1020000000,up,492709085625583,4605.76,5992.09,0
12,1020000000,612000000,down,492709342136748,5856.95,7248.38,0
13,612000000,1020000000,up,492709599865097,5040.97,6606.41,0
14,1020000000,612000000,down,492709857049720,5386.03,7133.02,0
15,612000000,1020000000,up,492710114692884,4652.03,6343.08,0
16,1020000000,612000000,down,492710371564858,4855.62,6354.47,0
17,612000000,1020000000,up,492710628452770,4927.11,6423.43,0
18,1020000000,612000000,down,492710885439563,5156.52,6923.38,0
19,612000000,1020000000,up,492711142903554,4861.82,6305.48,0
20,1020000000,612000000,down,492711399738920,4777.06,6404.17,0
21,612000000,1020000000,up,492711656701361,4915.87,6382.38,0
22,1020000000,612000000,down,492711913619481,4683.26,6080.83,0
23,612000000,1020000000,up,492712170214681,4959.43,6494.76,0
24,1020000000,612000000,down,492712427224547,4768.77,5973.73,0
25,612000000,1020000000,up,492712683712000,5180.74,6891.51,0
26,1020000000,612000000,down,492712941138101,4935.36,6399.85,0
27,612000000,1020000000,up,492713198047549,4661.24,6194.15,0
28,1020000000,612000000,down,492713454756448,4874.14,6397.35,0
29,612000000,1020000000,up,492713711702824,4827.9,6276.29,0
30,1020000000,612000000,down,492713968525134,4966.76,6461.71,0
31,612000000,1020000000,up,492714225541017,4685.92,6156.45,0
32,1020000000,612000000,down,492714482249499,5134.92,6297.99,0
33,612000000,1020000000,up,492714739027904,4961.99,6357.61,0
34,1020000000,612000000,down,492714995915655,5332.24,7065.5,0
35,612000000,1020000000,up,492715253492129,4838.05,6239.62,0
36,1020000000,612000000,down,492715510189667,3844.42,4763.13,0
37,612000000,1020000000,up,492715765478688,5409.87,6806.74,0
38,1020000000,612000000,down,492716022794355,4956.87,6465.77,0
39,612000000,1020000000,up,492716279809053,4596.82,6204.0,0
