i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,3199000000,2133000000,down,492740179611386,8863.31,13250.78,0
1,2133000000,3199000000,up,492740443349271,8686.02,12865.52,0
2,3199000000,2133000000,down,492740706735659,9742.79,14352.16,0
3,2133000000,3199000000,up,492740971658343,9217.59,13624.39,0
4,3199000000,2133000000,down,492741235835440,8645.96,13398.56,0
5,2133000000,3199000000,up,492741499792947,8828.33,13217.12,0
6,3199000000,2133000000,down,492741763543056,8811.94,13468.96,0
7,2133000000,3199000000,up,492742027598870,9335.51,13752.24,0
8,3199000000,2133000000,down,492742291946179,8701.61,13132.99,0
9,2133000000,3199000000,up,492742555558333,9936.84,14260.47,0
10,3199000000,2133000000,down,492742820165777,8697.13,13216.89,0
11,2133000000,3199000000,up,492743083983536,9238.04,13792.88,0
12,3199000000,2133000000,down,492743348311965,8614.4,13051.8,0
13,2133000000,3199000000,up,492743611880662,8822.83,13056.41,0
14,3199000000,2133000000,down,492743875536337,8956.43,13667.56,0
15,2133000000,3199000000,up,492744139765211,8953.33,13509.92,0
16,3199000000,2133000000,down,492744403832257,9729.15,14106.87,0
17,2133000000,3199000000,up,492744668478294,9230.0,13926.48,0
18,3199000000,2133000000,down,492744932982535,8663.08,13056.86,0
19,2133000000,3199000000,up,492745196587137,8977.33,13322.43,0
20,3199000000,2133000000,down,492745460453826,9117.84,13393.35,0
21,2133000000,3199000000,up,492745724127325,9265.08,14029.49,0
22,3199000000,2133000000,down,492745988760338,8902.0,13700.49,0
23,2133000000,3199000000,up,492746253049598,9795.72,14066.0,0
24,3199000000,2133000000,down,492746517644946,8508.35,12661.61,0
25,2133000000,3199000000,up,492746780805376,8976.11,12477.07,0
26,3199000000,2133000000,down,492747043754504,9132.31,13444.32,0
27,2133000000,3199000000,up,492747307715563,9819.08,14759.69,0
28,3199000000,2133000000,down,492747573046643,8504.64,12919.8,0
29,2133000000,3199000000,up,492747836534633,9189.01,14025.84,0
30,3199000000,2133000000,down,492748101067004,8898.99,13315.42,0
31,2133000000,3199000000,up,492748364914972,8848.33,13543.05,0
32,3199000000,2133000000,down,492748629000642,8488.58,13038.87,0
33,2133000000,3199000000,up,492748892609180,9083.82,13547.17,0
34,3199000000,2133000000,down,492749156715843,9519.0,13898.29,0
35,2133000000,3199000000,up,492749421138995,8798.44,12946.58,0
36,3199000000,2133000000,down,492749684586216,8705.06,13265.38,0
37,2133000000,3199000000,up,492749948433288,9179.38,13590.12,0
38,3199000000,2133000000,down,492750212593873,8687.97,13115.48,0
39,2133000000,3199000000,up,492750476145705,8893.83,13159.96,0
