i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1020000000,306000000,down,492489408944253,5237.23,6824.21,0
1,306000000,1020000000,up,492489666330122,4849.85,6345.26,0
2,1020000000,306000000,down,492489923225610,4988.45,6405.93,0
3,306000000,1020000000,up,492490180103818,3887.46,4852.93,0
4,1020000000,306000000,down,492490435404576,4643.48,5908.41,0
5,306000000,1020000000,up,492490691827444,4856.13,6223.68,0
6,1020000000,306000000,down,492490948568688,4820.16,6219.72,0
7,306000000,1020000000,up,492491205279596,4955.65,6415.18,0
8,1020000000,306000000,down,492491462151563,4364.69,5586.36,0
9,306000000,1020000000,up,492491718207125,4720.03,6192.77,0
10,1020000000,306000000,down,492491974895088,4924.07,6176.13,0
11,306000000,1020000000,up,492492231573419,5136.84,6603.37,0
12,1020000000,306000000,down,492492488734898,4862.72,6220.48,0
13,306000000,1020000000,up,492492745480366,4953.28,6468.91,0
14,1020000000,306000000,down,492493002560564,5023.85,7183.61,0
15,306000000,1020000000,up,492493260295434,5800.09,7594.31,0
16,1020000000,306000000,down,492493518550094,5093.61,7166.91,0
17,306000000,1020000000,up,492493776189026,5654.33,7278.53,0
18,1020000000,306000000,down,492494033964090,5079.21,7161.89,0
19,306000000,1020000000,up,492494291703217,5282.06,6938.65,0
20,1020000000,306000000,down,492494549151104,4772.73,6595.5,0
21,306000000,1020000000,up,492494806443530,5517.3,7091.71,0
22,1020000000,306000000,down,492495064166209,5042.79,7084.73,0
23,306000000,1020000000,up,492495321925208,5960.19,7823.57,0
24,1020000000,306000000,down,492495580290815,5279.37,7199.97,0
25,306000000,1020000000,up,492495838197882,6158.5,7857.52,0
26,1020000000,306000000,down,492496096573666,5386.22,7614.31,0
27,306000000,1020000000,up,492496354938505,5669.75,7370.66,0
28,1020000000,306000000,down,492496612817124,5109.67,7106.11,0
29,306000000,1020000000,up,492496870698846,5578.23,7280.96,0
30,1020000000,306000000,down,492497128511063,4975.04,6993.31,0
31,306000000,1020000000,up,492497386199884,5651.57,7429.19,0
32,1020000000,306000000,down,492497644171305,4920.42,6834.32,0
33,306000000,1020000000,up,492497901728539,5560.72,7394.12,0
34,1020000000,306000000,down,492498159672055,4954.76,6911.06,0
35,306000000,1020000000,up,492498417254634,5055.59,6583.05,0
36,1020000000,306000000,down,492498674397681,4811.2,6280.87,0
37,306000000,1020000000,up,492498931130990,4599.19,5908.03,0
38,1020000000,306000000,down,492499187575650,5125.77,6610.67,0
39,306000000,1020000000,up,492499444712649,4755.61,6197.22,0
