i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
0,1728000,115200,down,492454500884534,1377.73,2349.69,0
1,115200,1728000,up,492454753782795,1257.22,2153.56,0
2,1728000,115200,down,492455006668320,985.85,1159.61,0
3,115200,1728000,up,492455258278355,1663.82,2764.62,0
4,1728000,115200,down,492455511528049,1097.21,1939.41,0
5,115200,1728000,up,492455763987515,1260.8,2239.1,0
6,1728000,115200,down,492456016745037,1295.27,2247.99,0
7,115200,1728000,up,492456269580000,1262.14,2212.22,0
8,1728000,115200,down,492456522367059,1192.16,2259.9,0
9,115200,1728000,up,492456775206470,1111.26,1989.24,0
10,1728000,115200,down,492457027715601,1445.86,2357.76,0
11,115200,1728000,up,492457280610118,1287.62,2199.51,0
12,1728000,115200,down,492457533337399,1259.07,2117.85,0
13,115200,1728000,up,492457785959013,1616.75,2671.78,0
14,1728000,115200,down,492458039134242,1495.56,2402.78,0
15,115200,1728000,up,492458292203964,1361.19,2320.16,0
16,1728000,115200,down,492458544909388,248.1,329.32,0
17,115200,1728000,up,492458795643720,1349.67,2226.52,0
18,1728000,115200,down,492459048382266,1303.3,2210.17,0
19,115200,1728000,up,492459301114347,1320.26,2235.23,0
20,1728000,115200,down,492459553813403,991.93,1790.99,0
21,115200,1728000,up,492459806130273,1266.37,2290.68,0
22,1728000,115200,down,492460058818257,695.35,885.56,0
23,115200,1728000,up,492460310158333,1294.24,2395.58,0
24,1728000,115200,down,492460563028498,1295.78,2118.81,0
25,115200,1728000,up,492460815664608,1345.44,2221.59,0
26,1728000,115200,down,492461068411762,1284.96,2164.7,0
27,115200,1728000,up,492461321122946,1259.46,2149.08,0
28,1728000,115200,down,492461573730992,975.35,1777.3,0
29,115200,1728000,up,492461826013685,1253.54,2273.66,0
30,1728000,115200,down,492462078836361,1394.44,2359.61,0
31,115200,1728000,up,492462331760607,1524.58,2477.22,0
32,1728000,115200,down,492462584802840,1268.29,2154.26,0
33,115200,1728000,up,492462837523913,1245.63,2134.14,0
34,1728000,115200,down,492463090227482,1269.09,2339.26,0
35,115200,1728000,up,492463343095278,1449.86,2371.3,0
36,1728000,115200,down,492463595955523,1079.45,1904.75,0
37,115200,1728000,up,492463848385228,1152.64,1995.09,0
38,1728000,115200,down,492464100874423,1345.06,2260.48,0
39,115200,1728000,up,492464353635305,1638.22,2616.01,0
